Reference	ID	Tags	SupportReference	Quote	Occurrence	Note
5:1,3,8,12	sbh4		rc://*/ta/man/translate/writing-poetry	יְהוָ֗ה & יְֽהוָ֗ה & יְהוָ֤ה & יְהוָ֑ה	1	The direct address to **Yahweh** in each of these verses marks the start of a new section of the psalm. If your language marks section beginnings in poetry in a certain way, you could use it at the beginning of these verses.
5:2-3	svyb		rc://*/ta/man/translate/writing-poetry	לְ⁠ק֬וֹל & קוֹלִ֑⁠י	1	The words translated as **sound** and **voice** are the same in the original. If your language has a word that could be the same in both places, you could consider using it to follow the poetic parallel of the original.
